Class,Precision,Recall,F1-Score,Support
machine_translated,0.9278350515463918,0.9,0.9137055837563451,100
human,0.8947368421052632,0.85,0.8717948717948718,100
ai_generated,0.7777777777777778,0.84,0.8076923076923077,100
